Category,Section,Standard Ref,Assessment Question,Compliance,Notes,Owner,Priority
Core Requirements,12 - Support Information Security with Organizational Policies and Programs,12.4,Has the organisation implemented and evidenced the control objective: PCI DSS compliance is managed?,Not Compliant,Gap identified during review — PCI DSS compliance is managed has not been implemented. Remediation plan required.,Security Engineering,Low
Core Requirements,12 - Support Information Security with Organizational Policies and Programs,12.5,Has the organisation implemented and evidenced the control objective: PCI DSS scope is documented and validated?,Fully Compliant,,Security Engineering,
Core Requirements,12 - Support Information Security with Organizational Policies and Programs,12.6,Has the organisation implemented and evidenced the control objective: security awareness education is an ongoing activity?,Not Compliant,Gap identified during review — security awareness education is an ongoing activity has not been implemented. Remediation plan required.,N. Islam,Medium
Core Requirements,12 - Support Information Security with Organizational Policies and Programs,12.7,Has the organisation implemented and evidenced the control objective: personnel are screened to reduce risks from insider threats?,Fully Compliant,,T. Ahmed,
Core Requirements,12 - Support Information Security with Organizational Policies and Programs,12.8,Has the organisation implemented and evidenced the control objective: risk to information assets associated with third-party service provider (TPSP) relationships is managed?,Fully Compliant,,A. Rahman,
Core Requirements,12 - Support Information Security with Organizational Policies and Programs,12.9,Has the organisation implemented and evidenced the control objective: third-party service providers (TPSPs) support their customers' PCI DSS compliance?,Partially Compliant,Third-party service providers (TPSPs) support their customers' PCI DSS compliance is partly in place but lacks consistent evidence or full documentation.,S. Chowdhury,Low
Core Requirements,12 - Support Information Security with Organizational Policies and Programs,12.10,Has the organisation implemented and evidenced the control objective: suspected and confirmed security incidents that could impact the CDE are responded to immediately?,Not Compliant,Gap identified during review — suspected and confirmed security incidents that could impact the CDE are responded to immediately has not been implemented. Remediation plan required.,S. Chowdhury,Medium
Appendix A1 Controls,A1.1 - Multi-tenant service providers protect and separate customer environments,A1.1.1,"Has the organisation implemented, documented and evidenced its approach to logical separation of customer environments, including from the provider's own control backplane?",Partially Compliant,"Logical separation of customer environments, including from the provider's own control backplane is partly in place but lacks consistent evidence or full documentation.",N. Islam,Low
Appendix A1 Controls,A1.1 - Multi-tenant service providers protect and separate customer environments,A1.1.2,"Has the organisation implemented, documented and evidenced its approach to controls preventing any breach of the logical separation between customer environments?",Fully Compliant,,QSA Liaison,
Appendix A1 Controls,A1.1 - Multi-tenant service providers protect and separate customer environments,A1.1.3,"Has the organisation implemented, documented and evidenced its approach to controls preventing customers from accessing the provider's own shared resources and environments?",Partially Compliant,Controls preventing customers from accessing the provider's own shared resources and environments is partly in place but lacks consistent evidence or full documentation.,M. Karim,Medium
Appendix A1 Controls,A1.1 - Multi-tenant service providers protect and separate customer environments,A1.1.4,"Has the organisation implemented, documented and evidenced its approach to six-monthly penetration testing to confirm effectiveness of logical separation controls?",Fully Compliant,,S. Chowdhury,
Appendix A1 Controls,A1.2 - Multi-tenant service providers facilitate logging and incident response for customer environments,A1.2.1,"Has the organisation implemented, documented and evidenced its approach to audit log capability enabled for each customer environment, consistent with Requirement 10?",Not Compliant,"Gap identified during review — audit log capability enabled for each customer environment, consistent with Requirement 10 has not been implemented. Remediation plan required.",R. Hasan,Medium
Appendix A1 Controls,A1.2 - Multi-tenant service providers facilitate logging and incident response for customer environments,A1.2.2,"Has the organisation implemented, documented and evidenced its approach to processes for customers to identify and report suspected shared-resource issues affecting their environment?",Not Applicable,,A. Rahman,
Appendix A1 Controls,A1.2 - Multi-tenant service providers facilitate logging and incident response for customer environments,A1.2.3,"Has the organisation implemented, documented and evidenced its approach to processes for reporting and addressing suspected or confirmed security incidents and vulnerabilities?",Partially Compliant,Processes for reporting and addressing suspected or confirmed security incidents and vulnerabilities is partly in place but lacks consistent evidence or full documentation.,S. Chowdhury,Medium
